2020-0001,LeBron James SR.,BSIS,2nd Year,Male
2020-0002,Jarred Vanderbilt,BSIT,2nd Year,Male
2020-0003,Gabe Vincent,BSCS,2nd Year,Male
2020-0004,Taurean Prince,BSIS,2nd Year,Male
2020-0090,Spencer Dinwiddie,BSCS,2nd Year,Female
2020-0006,Anthony Davis,BSIS,5th Year,Other
2020-0009,Ichigo Kurosaki,BSCA,2nd Year,Female
2020-0010,Naruto Uzumaki,BSCS,2nd Year,Male
2020-0011,Monkey D. Luffy,BSIT,2nd Year,Male
2020-0023,Soren Kirkgard,BSIT,2nd Year,Male
2020-0016,Aristotle Plato,BSCS,2nd Year,Male
2020-0017,Stephen Curry,BSCS,2nd Year,Female
2020-0018,Velma Dejesus,BSCS,2nd Year,Female
2020-0019,Gerrard Solomon,BSCS,2nd Year,Male
2020-0020,Maxine Nolan,BSIT,2nd Year,Female
2020-0021,Eva Bowes,BSCS,2nd Year,Female
2020-0038,Aron Huynh,BSIT,2nd Year,Male
2020-0039,Blessing Munro,BSCS,2nd Year,Female
2020-0040,Gracie Howard,BSCS,2nd Year,Female
2020-0041,Maariya Smyth,BSIT,2nd Year,Female
2020-0042,Sami Christie,BSCS,2nd Year,Female
2020-0043,Crystal Noble,BSCS,2nd Year,Female
2020-0044,Kaylie Owens,BSIT,2nd Year,Female
2020-0045,Ricardo Milos,BSCS,2nd Year,Male
2020-0046,Tess Dunne,BSCS,2nd Year,Female
2020-0047,Archibald Robson,BSIT,2nd Year,Male
2020-0048,Connah Knights,BSCS,2nd Year,Male
2020-0049,Kristy Mccabe,N/A,2nd Year,Female
2020-0050,Pascal Humphrey,BSIT,2nd Year,Male
2020-1699,Knee Garbanzos,BSCS,Irregular,Other
2020-0038,Jun Paolo Bergado,N/A,1st Year,Other
2929-2929,Dark,BSCS,1st Year,Male
2020-1489,louise,BSIT,3rd Year,Male
2020-1999,Cornelius the third,BSIT,3rd Year,Male
2028-1345,nasdnlaksd,BSIT,4th Year,Male
2021-1001,LeBron James,BSCS,2nd Year,Male
2021-1002,Jarred Vanderbilt,BSIT,2nd Year,Male
2021-1003,Gabe Vincent,BSCS,2nd Year,Male
2021-1004,Taurean Prince,BSCS,2nd Year,Male
2021-1005,Spencer Dinwiddie,BSIT,2nd Year,Female
2021-1006,Anthony Davis,BSCS,5th Year,Other
2021-1009,Ichigo Kurosaki,BSCS,2nd Year,Female
2021-1010,Naruto Uzumaki,BSCS,2nd Year,Male
2021-1011,Monkey D. Luffy,BSIT,2nd Year,Male
2021-1014,Soren Kirkgard,BSIT,2nd Year,Male
2021-1016,Aristotle Plato,BSCS,2nd Year,Male
